Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","15uF/35V","TantalC_SizeC_Reflow",20.4318,29.9872,180.0000,bottom
"C2","1u5/50V - NFM41PC155B1H3L","FIR_1806",20.4470,25.9080,180.0000,bottom
"C3","47uF","TantalC_SizeC_Reflow",25.0190,10.6680,0.0000,bottom
"C4","10u","SMD-0805",15.9385,10.0965,180.0000,bottom
"C5","100nF","SMD-0805",14.4145,30.4800,0.0000,bottom
"C6","100nF","SMD-0805",9.7155,27.4320,180.0000,bottom
"C7","10u","SMD-0805",20.0025,13.2080,0.0000,bottom
"C8","100nF","SMD-0805",20.0025,15.2400,0.0000,bottom
"C9","10nF","SMD-0805",10.7315,24.8920,180.0000,bottom
"C10","0R","SMD-0805",9.8425,15.2400,180.0000,bottom
"D1","M4","Diode-SMA_Standard",21.4630,4.5720,-90.0000,bottom
"J1","HEADER_2x01_PARALLEL","Straight_2x01",26.5430,33.0200,0.0000,top
"J2","HEADER_2x01_PARALLEL","Straight_2x01",26.5430,35.5600,0.0000,top
"J3","HEADER_2x01_PARALLEL","Straight_2x01",26.5430,38.1000,0.0000,top
"J4","HEADER_2x01_PARALLEL","Straight_2x01",26.5430,2.5400,0.0000,top
"J5","HEADER_2x01_PARALLEL","Straight_2x01",26.5430,5.0800,180.0000,top
"J6","HEADER_2x01_PARALLEL","Straight_2x01",26.5430,7.6200,180.0000,top
"J7","HEADER_2x01_PARALLEL","Straight_2x01",26.5430,23.3680,0.0000,top
"J8","HEADER_2x01_PARALLEL","Straight_2x01",26.5430,18.2880,0.0000,top
"J9","HEADER_2x01_PARALLEL","Straight_2x01",26.5430,15.7480,0.0000,top
"J10","HEADER_2x01_PARALLEL","Straight_2x01",26.5430,20.8280,0.0000,top
"M1","HOLE","MountingHole_3mm",15.3670,5.0800,0.0000,top
"M2","HOLE","MountingHole_3mm",5.2070,5.0800,0.0000,top
"M3","HOLE","MountingHole_3mm",5.2070,35.5600,0.0000,top
"M4","HOLE","MountingHole_3mm",15.3670,35.5600,0.0000,top
"R1","10R","SMD-0805",21.9710,34.6075,90.0000,bottom
"R2","10R","SMD-0805",14.3510,27.4320,0.0000,bottom
"R3","100R","SMD-0805",18.9230,10.6045,-90.0000,bottom
"R4","10R","SMD-0805",10.3505,30.4800,0.0000,bottom
"R5","10R","SMD-0805",6.7310,13.7795,90.0000,bottom
"R6","-","SMD-0805",13.3350,19.8755,90.0000,bottom
"R7","-","SMD-0805",14.8590,14.2875,90.0000,bottom
"R8","100nF","SMD-0805",12.8270,14.2875,-90.0000,bottom
"R9","470R","SMD-0805",21.9710,22.2885,90.0000,bottom
"R10","12k","SMD-0805",18.8595,21.3360,0.0000,bottom
"R11","1k","SMD-0805",21.3995,18.2880,180.0000,bottom
"R12","1k","SMD-0805",16.8910,14.2875,90.0000,bottom
"U1","MICROFC-60035-SMT-TR(1)","MicroFC−60035−SMT",10.2870,20.3200,0.0000,top
"U2","OPA836IDB","SOT-23-6",17.4830,18.2880,0.0000,bottom
